country_name,medal_type,game_season,athlete_full_name,age_at_medal
Afghanistan,BRONZE,Summer,Rohullah NIKPAI,21.0
Algeria,BRONZE,Summer,Mohamed BAHARI,20.0
Algeria,GOLD,Summer,Taoufik MAKHLOUFI,24.0
Algeria,SILVER,Summer,Ali SAIDI-SIEF,22.0
Argentina,BRONZE,Summer,Francisco RISIGLIONE,19.0
Argentina,GOLD,Summer,Alberto Santiago LOVELL,20.0
Argentina,SILVER,Summer,Gabriela SABATINI,18.0
Armenia,BRONZE,Summer,Artur ALEKSANYAN,21.0
Armenia,GOLD,Summer,Armen NAZARYAN,14.0
Armenia,SILVER,Summer,Simon MARTIROSYAN,19.0
Australasia,BRONZE,Summer,Frank DE BEAUREPAIRE,17.0
Australasia,GOLD,Summer,Fanny DURACK,20.0
Australasia,SILVER,Summer,Frank DE BEAUREPAIRE,17.0
Australia,BRONZE,Summer,Michelle PEARSON,-7.0
Australia,BRONZE,Winter,Tess COADY,22.0
Australia,GOLD,Summer,John ANDERSON,6.0
Australia,GOLD,Winter,Dale BEGG-SMITH,21.0
Australia,SILVER,Summer,Leisel JONES,15.0
Australia,SILVER,Winter,Jarryd HUGHES,23.0
Austria,BRONZE,Summer,Otto SCHEFF,19.0
Austria,BRONZE,Winter,Ingrid WENDL,16.0
Austria,GOLD,Summer,Ellen S. PREIS-MÜLLER,20.0
Austria,GOLD,Winter,Manfred STENGL,18.0
Austria,SILVER,Summer,Otto HERSCHMANN,19.0
Austria,SILVER,Winter,Erik PAUSIN,16.0
Azerbaijan,BRONZE,Summer,Valentin HRISTOV,18.0
Azerbaijan,GOLD,Summer,Elnur MAMMADLI,20.0
Azerbaijan,SILVER,Summer,Rovshan BAYRAMOV,21.0
Bahamas,BRONZE,Summer,Leevan SANDS,27.0
Bahamas,GOLD,Summer,Steven GARDINER,25.0
Bahrain,GOLD,Summer,Ruth JEBET,20.0
Bahrain,SILVER,Summer,Kalkidan GEZAHEGNE,29.0
Barbados,BRONZE,Summer,Obadele THOMPSON,24.0
Belarus,BRONZE,Summer,Alina HARNASKO,19.0
Belarus,BRONZE,Winter,Alexei GRISHIN,23.0
Belarus,GOLD,Summer,Victoria AZARENKA,23.0
Belarus,GOLD,Winter,Darya DOMRACHEVA,28.0
Belarus,SILVER,Summer,Yulia RASKINA,18.0
Belarus,SILVER,Winter,Anton SMOLSKI,26.0
Belgium,BRONZE,Summer,Ingrid LEMPEREUR,15.0
Belgium,BRONZE,Winter,Robert VAN ZEEBROECK,19.0
Belgium,GOLD,Summer,Charles DELPORTE,10.0
Belgium,GOLD,Winter,Micheline LANNOY,23.0
Belgium,SILVER,Summer,Michel VAARTEN,19.0
Belgium,SILVER,Winter,Bart SWINGS,27.0
Bermuda,BRONZE,Summer,Clarence HILL,25.0
Bermuda,GOLD,Summer,Flora DUFFY,33.0
Bohemia,SILVER,Summer,Frantisek JANDA-SUK,22.0
Botswana,SILVER,Summer,Nijel AMOS,18.0
Brazil,BRONZE,Summer,Alison DOS SANTOS,20.0
Brazil,GOLD,Summer,Marcos Pinto Rizzo SOARES,19.0
Brazil,SILVER,Summer,Rayssa LEAL,12.0
Bulgaria,BRONZE,Summer,Georgi GEORGIEV,17.0
Bulgaria,BRONZE,Winter,Ivan LEBANOV,23.0
Bulgaria,GOLD,Summer,Armen NAZARYAN,18.0
Bulgaria,GOLD,Winter,Ekaterina DAFOVSKA,23.0
Bulgaria,SILVER,Summer,Antoaneta FRENKEVA,17.0
Bulgaria,SILVER,Winter,Evgeniya RADANOVA,25.0
Burkina Faso,BRONZE,Summer,Fabrice ZANGO HUGUES,27.0
Burundi,GOLD,Summer,Venuste NIYONGABO,23.0
Burundi,SILVER,Summer,Francine NIYONSABA,23.0
Cameroon,BRONZE,Summer,Martin NDONGO-EBANGA,18.0
Cameroon,GOLD,Summer,Françoise MBANGO ETONE,28.0
Cameroon,SILVER,Summer,Joseph BESSALA,27.0
Canada,BRONZE,Summer,Shannon SMITH,15.0
Canada,BRONZE,Winter,Petra BURKA,18.0
Canada,GOLD,Summer,Penny OLEKSIAK,16.0
Canada,GOLD,Winter,Kathy KREINER,19.0
Canada,SILVER,Summer,Penny OLEKSIAK,16.0
Canada,SILVER,Winter,Debbi WILKES,18.0
Chile,BRONZE,Summer,Claudio BARRIENTOS,22.0
Chile,GOLD,Summer,Fernando GONZALEZ,24.0
Chile,SILVER,Summer,Marlene AHRENS,23.0
Chinese Taipei,BRONZE,Summer,Shu Ju CHI,18.0
Chinese Taipei,GOLD,Summer,Shu-Ching HSU,21.0
Chinese Taipei,SILVER,Summer,Yung Wei YANG,23.0
Colombia,BRONZE,Summer,Oscar MUNOZ,19.0
Colombia,GOLD,Summer,Mariana PAJÓN,21.0
Colombia,SILVER,Summer,Leidy Yessenia SOLIS ARBOLEDA,18.0
Costa Rica,BRONZE,Summer,Claudia POLL AHRENS,28.0
Costa Rica,GOLD,Summer,Claudia POLL AHRENS,24.0
Costa Rica,SILVER,Summer,Silvia POLL AHRENS,18.0
Croatia,BRONZE,Summer,Martina ZUBCIC,19.0
Croatia,BRONZE,Winter,Jakov FAK,23.0
Croatia,GOLD,Summer,Sara KOLAK,21.0
Croatia,GOLD,Winter,Janica KOSTELIC,20.0
Croatia,SILVER,Summer,Duje DRAGANJA,21.0
Croatia,SILVER,Winter,Janica KOSTELIC,20.0
Cuba,BRONZE,Summer,Amarilys SAVON,18.0
Cuba,GOLD,Summer,Ramon FONST,17.0
Cuba,SILVER,Summer,Jose RODRIGUEZ,13.0
Cyprus,SILVER,Summer,Pavlos KONTIDES,22.0
Czech Republic,BRONZE,Summer,Tomas DVORAK,1.0
Czech Republic,BRONZE,Winter,Martina SABLIKOVA,23.0
Czech Republic,GOLD,Summer,Martin DOKTOR,22.0
Czech Republic,GOLD,Winter,Eva SAMKOVA,21.0
Czech Republic,SILVER,Summer,Lenka HYKOVA,19.0
Czech Republic,SILVER,Winter,Gabriela KOUKALOVA,25.0
Czechoslovakia,BRONZE,Summer,Jan FRANEK,20.0
Czechoslovakia,BRONZE,Winter,Hana MASKOVA,-4.0
Czechoslovakia,GOLD,Summer,Milena DUCHKOVA,16.0
Czechoslovakia,GOLD,Winter,Ondrej NEPELA,21.0
Czechoslovakia,SILVER,Summer,Jiri PECKA,8.0
Czechoslovakia,SILVER,Winter,Pavel PLOC,24.0
Côte d'Ivoire,BRONZE,Summer,Ruth Marie Christelle GBAGBI,22.0
Côte d'Ivoire,GOLD,Summer,Cheick Sallah Junior CISSE,23.0
Côte d'Ivoire,SILVER,Summer,Gabriel TIACOH,21.0
Democratic People's Republic of Korea,BRONZE,Summer,Chun Hwa RYANG,21.0
Democratic People's Republic of Korea,BRONZE,Winter,Ok Sil HWANG,20.0
Democratic People's Republic of Korea,GOLD,Summer,Sun Hui KYE,17.0
Democratic People's Republic of Korea,SILVER,Summer,Kuk Hyang KIM,17.0
Denmark,BRONZE,Summer,Anders HARTINGTON-ANDERSEN,1.0
Denmark,GOLD,Summer,Bent Peder Benjamin RASCH,18.0
Denmark,SILVER,Summer,Ragnild Tove HVEGER,16.0
Djibouti,BRONZE,Summer,Hussein AHMED SALAH,32.0
Dominican Republic,BRONZE,Summer,Luisito PIE,22.0
Dominican Republic,GOLD,Summer,Felix DIAZ,25.0
Dominican Republic,SILVER,Summer,Luguelin SANTOS,19.0
Ecuador,GOLD,Summer,Neisi Patricia DAJOMES BARRERA,22.0
Ecuador,SILVER,Summer,Tamara Yajaira SALAZAR ARCE,23.0
Egypt,BRONZE,Summer,Abir KHALIL,16.0
Egypt,GOLD,Summer,Feryal ABDELAZIZ,21.0
Egypt,SILVER,Summer,Abir KHALIL,20.0
Eritrea,BRONZE,Summer,Zersenay TADESSE,22.0
Estonia,BRONZE,Summer,Roman STEINBERG,22.0
Estonia,BRONZE,Winter,Kelly SILDARU,20.0
Estonia,GOLD,Summer,Osvald KAPP,23.0
Estonia,GOLD,Winter,Kristina SMIGUN-VAEHI,29.0
Estonia,SILVER,Summer,Alfred SCHMIDT,22.0
Estonia,SILVER,Winter,Andrus VEERPALU,31.0
Ethiopia,BRONZE,Summer,Tesfaye TOLA,16.0
Ethiopia,GOLD,Summer,Selemon BAREGA,20.0
Ethiopia,SILVER,Summer,Lamecha GIRMA,20.0
Federal Republic of Germany,BRONZE,Summer,Petra ZINDLER,18.0
Federal Republic of Germany,BRONZE,Winter,Margot GLOCKSHUBER,19.0
Federal Republic of Germany,GOLD,Summer,Ulrike MEYFARTH,16.0
Federal Republic of Germany,GOLD,Winter,Franz WEMBACHER,16.0
Federal Republic of Germany,SILVER,Summer,Ulrike HOLMER,17.0
Federal Republic of Germany,SILVER,Winter,Christa KINSHOFER GUETHLEIN,19.0
Finland,BRONZE,Summer,Einari Allan TERÄSVIRTA,18.0
Finland,BRONZE,Winter,Toni NIEMINEN,17.0
Finland,GOLD,Summer,Tomi POIKOLAINEN,19.0
Finland,GOLD,Winter,Toni NIEMINEN,17.0
Finland,SILVER,Summer,Thorvald Lennart STRÖMBERG,21.0
Finland,SILVER,Winter,Samppa LAJUNEN,19.0
France,BRONZE,Summer,Laure MANAUDOU,18.0
France,BRONZE,Winter,Coline MATTEL,19.0
France,GOLD,Summer,Michel ROUSSEAU,7.0
France,GOLD,Winter,Marielle GOITSCHEL,19.0
France,SILVER,Summer,Christine (Kiki) CARON,16.0
France,SILVER,Winter,Julia PEREIRA DE SOUSA MABILEAU,17.0
Gabon,SILVER,Summer,Anthony Mylann OBAME,24.0
Georgia,BRONZE,Summer,Dato MARSAGISHVILI,21.0
Georgia,GOLD,Summer,Lasha BEKAURI,20.0
Georgia,SILVER,Summer,Vladimer KHINCHEGASHVILI,21.0
German Democratic Republic (Germany),BRONZE,Summer,Katrin MEISSNER,15.0
German Democratic Republic (Germany),BRONZE,Winter,Jörg HOFFMANN,14.0
German Democratic Republic (Germany),GOLD,Summer,Annelie EHRHARDT,13.0
German Democratic Republic (Germany),GOLD,Winter,Jörg HOFFMANN,18.0
German Democratic Republic (Germany),SILVER,Summer,Kornelia ENDER,14.0
German Democratic Republic (Germany),SILVER,Winter,Andrea EHRIG,16.0
Germany,BRONZE,Summer,Karl KÖTHER,-14.0
Germany,BRONZE,Winter,Claudia PECHSTEIN,20.0
Germany,GOLD,Summer,Ingrid Gulbin-Engel-Krämer,17.0
Germany,GOLD,Winter,Maxi HERBER,16.0
Germany,SILVER,Summer,Franziska VAN ALMSICK,14.0
Germany,SILVER,Winter,Marika KILIUS,17.0
Ghana,BRONZE,Summer,Samuel TAKYI,20.0
Ghana,SILVER,Summer,Clement QUARTEY,22.0
Great Britain,BRONZE,Summer,Sidney ROBINSON,-2.0
Great Britain,BRONZE,Winter,Jeannette ALTWEGG,18.0
Great Britain,GOLD,Summer,Judith Brenda GRINHAM,17.0
Great Britain,GOLD,Winter,Jeannette ALTWEGG,22.0
Great Britain,SILVER,Summer,John DALY,-81.0
Great Britain,SILVER,Winter,Cecilia COLLEDGE,16.0
Greece,BRONZE,Summer,Dimitrios LOUNDRAS,11.0
Greece,GOLD,Summer,Ilias ILIADIS,18.0
Greece,SILVER,Summer,Kharilaos VASILAKOS,20.0
Grenada,BRONZE,Summer,Kirani JAMES,28.0
Grenada,GOLD,Summer,Kirani JAMES,20.0
Grenada,SILVER,Summer,Kirani JAMES,24.0
Guatemala,SILVER,Summer,Erick BARRONDO,21.0
Guyana,BRONZE,Summer,Michael ANTHONY,23.0
Haiti,SILVER,Summer,Silvio M. CATOR,28.0
"Hong Kong, China",BRONZE,Summer,Wai Sze LEE,25.0
"Hong Kong, China",GOLD,Summer,Ka Long CHEUNG,23.0
"Hong Kong, China",SILVER,Summer,Siobhan Bernadette HAUGHEY,23.0
Hungary,BRONZE,Summer,Tamas Jr. BUDAY,0.0
Hungary,BRONZE,Winter,Shaoang LIU,24.0
Hungary,GOLD,Summer,Laszlo FABIAN,-7.0
Hungary,GOLD,Winter,Shaoang LIU,24.0
Hungary,SILVER,Summer,Tunde SZABO,3.0
Hungary,SILVER,Winter,Ede KIRALY,22.0
Iceland,BRONZE,Summer,Vala FLOSADOTTIR,22.0
Iceland,SILVER,Summer,Vilhjalmur EINARSSON,22.0
Independent Olympic Athletes,BRONZE,Summer,Stevan PLETIKOSIC,20.0
Independent Olympic Athletes,GOLD,Summer,Fehaid ALDEEHANI,50.0
Independent Olympic Athletes,SILVER,Summer,Jasna SEKARIC,27.0
India,BRONZE,Summer,Saina NEHWAL,22.0
India,GOLD,Summer,Neeraj CHOPRA,23.0
India,SILVER,Summer,Pusarla Venkata SINDHU,21.0
Indonesia,BRONZE,Summer,Windy Cantika AISAH,18.0
Indonesia,GOLD,Summer,Susi SUSANTI,21.0
Indonesia,SILVER,Summer,Raema Lisa RUMBEWAS,20.0
Iraq,BRONZE,Summer,Abdul WAHID AZIZ,30.0
Ireland,BRONZE,Summer,James Vincent MCCOURT,20.0
Ireland,GOLD,Summer,Ronald Michael DELANY,21.0
Ireland,SILVER,Summer,John MCNALLY,20.0
Islamic Republic of Iran,BRONZE,Summer,Kimia Alizadeh Zenozi,18.0
Islamic Republic of Iran,GOLD,Summer,Saeid MOHAMMADPOURKARKARAGH,19.0
Islamic Republic of Iran,SILVER,Summer,Ali DAVOUDI,21.0
Israel,BRONZE,Summer,Gal FRIDMAN,21.0
Israel,GOLD,Summer,Linoy ASHRAM,21.0
Israel,SILVER,Summer,Yael ARAD,25.0
Italy,BRONZE,Summer,Stefano BATTISTELLI,18.0
Italy,BRONZE,Winter,Isolde KOSTNER,19.0
Italy,GOLD,Summer,Carlo ORLANDI,18.0
Italy,GOLD,Winter,Paul HILDGARTNER,20.0
Italy,SILVER,Summer,Federica PELLEGRINI,16.0
Italy,SILVER,Winter,Mirko VUILLERMIN,21.0
Jamaica,BRONZE,Summer,Merlene OTTEY-PAGE,20.0
Jamaica,GOLD,Summer,Omar MCLEOD,22.0
Jamaica,SILVER,Summer,James BECKFORD,21.0
Japan,BRONZE,Summer,Takashi ONO,-28.0
Japan,BRONZE,Winter,Kokomo MURASE,18.0
Japan,GOLD,Summer,Takashi ONO,-24.0
Japan,GOLD,Winter,Takafumi NISHITANI,19.0
Japan,SILVER,Summer,Takashi ONO,-24.0
Japan,SILVER,Winter,Ayumu HIRANO,16.0
Jordan,BRONZE,Summer,Abdel Rahman ALMASATFA,24.0
Jordan,GOLD,Summer,Ahmad ABUGHAUSH,20.0
Jordan,SILVER,Summer,Saleh ELSHARABATY,22.0
Kazakhstan,BRONZE,Summer,Sofya BERULTSEVA,20.0
Kazakhstan,BRONZE,Winter,Denis TEN,21.0
Kazakhstan,GOLD,Summer,Bekzat SATTARKHANOV,20.0
Kazakhstan,GOLD,Winter,Vladimir SMIRNOV,30.0
Kazakhstan,SILVER,Summer,Anna NURMUKHAMBETOVA,19.0
Kazakhstan,SILVER,Winter,Vladimir SMIRNOV,30.0
Kenya,BRONZE,Summer,Timothy KITUM,18.0
Kenya,GOLD,Summer,Asbel KIPROP,19.0
