country_name,medal_type,game_season,athlete_full_name,age_at_medal
Kenya,SILVER,Summer,Brimin Kiprop KIPRUTO,19.0
Kosovo,GOLD,Summer,Distria KRASNIQI,25.0
Kuwait,BRONZE,Summer,Fehaid ALDEEHANI,34.0
Kyrgyzstan,BRONZE,Summer,Meerim ZHUMANAZAROVA,21.0
Kyrgyzstan,SILVER,Summer,Akzhol MAKHMUDOV,21.0
Latvia,BRONZE,Summer,Janis SMEDINS,25.0
Latvia,BRONZE,Winter,Oskars MELBARDIS,26.0
Latvia,GOLD,Summer,Maris STROMBERGS,21.0
Latvia,SILVER,Summer,Vadims VASILEVSKIS,22.0
Latvia,SILVER,Winter,Andris SICS,25.0
Lebanon,BRONZE,Summer,Khalil TAHA,20.0
Lebanon,SILVER,Summer,Kheir Mohamed TARABULSI,22.0
Liechtenstein,BRONZE,Winter,Hanni WENZEL,20.0
Liechtenstein,GOLD,Winter,Hanni WENZEL,24.0
Liechtenstein,SILVER,Winter,Andreas WENZEL,22.0
Lithuania,BRONZE,Summer,Evaldas PETRAUSKAS,20.0
Lithuania,GOLD,Summer,Ruta MEILUTYTE,15.0
Lithuania,SILVER,Summer,Austra SKUJYTE,25.0
Luxembourg,GOLD,Summer,Michel THEATO,22.0
Luxembourg,SILVER,Winter,Marc GIRARDELLI,29.0
MIX,BRONZE,Summer,Marion JONES,-75.0
MIX,GOLD,Summer,John BOLAND,26.0
MIX,SILVER,Summer,Max DECUGIS,18.0
Malaysia,BRONZE,Summer,Pandelela Rinong PAMG,19.0
Malaysia,SILVER,Summer,Pandelela Rinong PAMG,23.0
Mauritius,BRONZE,Summer,Bruno JULIE,30.0
Mexico,BRONZE,Summer,Erick Joel SANCHEZ,3.0
Mexico,GOLD,Summer,Felipe MUNOZ,17.0
Mexico,SILVER,Summer,Alejandra OROZCO,15.0
Mongolia,BRONZE,Summer,Tsagaanbaatar KHASHBAATAR,20.0
Mongolia,GOLD,Summer,Badar-Uugan ENKHBAT,23.0
Mongolia,SILVER,Summer,Serdamba PUREVDORJ,23.0
Morocco,BRONZE,Summer,Tahar TAMSAMANI,20.0
Morocco,GOLD,Summer,Moulay Brahim BOUTAYEB,21.0
Morocco,SILVER,Summer,Rachid EL BASIR,24.0
Mozambique,BRONZE,Summer,Maria MUTOLA,24.0
Mozambique,GOLD,Summer,Maria MUTOLA,28.0
Namibia,SILVER,Summer,Christine MBOMA,17.0
Netherlands,BRONZE,Summer,Laura SMULDERS,19.0
Netherlands,BRONZE,Winter,Ireen WÜST,20.0
Netherlands,GOLD,Summer,Dina Willemina Jacoba SENFF,16.0
Netherlands,GOLD,Winter,Ireen WÜST,20.0
Netherlands,SILVER,Summer,Willemyntje (Willy) DEN OUDEN,14.0
Netherlands,SILVER,Winter,Sjoukje DIJKSTRA,18.0
Netherlands Antilles,SILVER,Summer,Jan D. BOERSMA,20.0
New Zealand,BRONZE,Summer,Eliza MCCARTNEY,20.0
New Zealand,BRONZE,Winter,Zoi SADOWSKI SYNNOTT,17.0
New Zealand,GOLD,Summer,Danyon Joseph LOADER,21.0
New Zealand,GOLD,Winter,Nico PORTEOUS,21.0
New Zealand,SILVER,Summer,Danyon Joseph LOADER,17.0
New Zealand,SILVER,Winter,Zoi SADOWSKI SYNNOTT,21.0
Niger,SILVER,Summer,Abdoulrazak ISSOUFOU ALFAGA,22.0
Nigeria,BRONZE,Summer,Maryam USMAN,18.0
Nigeria,GOLD,Summer,Chioma AJUNWA,25.0
Nigeria,SILVER,Summer,Peter KONYEGWACHIE,19.0
North Macedonia,BRONZE,Summer,Mogamed IBRAGIMOV,26.0
North Macedonia,SILVER,Summer,Dejan GEORGIEVSKI,21.0
Norway,BRONZE,Summer,Arne HALSE,21.0
Norway,BRONZE,Winter,Sverre HAUGLI,-30.0
Norway,GOLD,Summer,Peder Jr. LUNDE,18.0
Norway,GOLD,Winter,Sonja HENIE,16.0
Norway,SILVER,Summer,Sverre SÖRSDAL,20.0
Norway,SILVER,Winter,Georg KROG,-10.0
Olympic Athletes from Russia,BRONZE,Winter,Denis SPITSOV,22.0
Olympic Athletes from Russia,GOLD,Winter,Alina ZAGITOVA,16.0
Olympic Athletes from Russia,SILVER,Winter,Evgenia MEDVEDEVA,19.0
Panama,BRONZE,Summer,Lloyd LABEACH,24.0
Panama,GOLD,Summer,Irving SALADINO,25.0
People's Republic of China,BRONZE,Summer,Yan WANG,-3.0
People's Republic of China,BRONZE,Winter,Lu CHEN,18.0
People's Republic of China,GOLD,Summer,Jun ZHANG,2.0
People's Republic of China,GOLD,Winter,Yiming SU,18.0
People's Republic of China,SILVER,Summer,Wei LIU,-2.0
People's Republic of China,SILVER,Winter,Yan LI,14.0
Peru,SILVER,Summer,Francisco BOZA,20.0
Philippines,BRONZE,Summer,Roel VELASCO,20.0
Philippines,GOLD,Summer,Hidilyn DIAZ,29.0
Philippines,SILVER,Summer,Anthony N. VILLANUEVA,19.0
Poland,BRONZE,Summer,Agnieszka CZOPEK,16.0
Poland,BRONZE,Winter,Justyna KOWALCZYK,23.0
Poland,GOLD,Summer,Kamila SKOLIMOWSKA,18.0
Poland,GOLD,Winter,Wojciech FORTUNA,20.0
Poland,SILVER,Summer,Irena Szewińska,18.0
Poland,SILVER,Winter,Adam MALYSZ,25.0
Portugal,BRONZE,Summer,Nuno DELGADO,24.0
Portugal,GOLD,Summer,Nelson EVORA,24.0
Portugal,SILVER,Summer,Fernando PIMENTA,23.0
Puerto Rico,BRONZE,Summer,Orlando MALDONADO,17.0
Puerto Rico,GOLD,Summer,Monica PUIG,23.0
Puerto Rico,SILVER,Summer,Luis F. ORTIZ,19.0
Qatar,BRONZE,Summer,Asaad Said Saif ASAAD,21.0
Qatar,GOLD,Summer,Fares Ibrahim E. H. ELBAKH,22.0
Qatar,SILVER,Summer,Mutaz Essa BARSHIM,21.0
ROC,BRONZE,Summer,Angelina MELNIKOVA,20.0
ROC,BRONZE,Winter,Anastasiia SMIRNOVA,20.0
ROC,GOLD,Summer,Albert BATYRGAZIEV,22.0
ROC,GOLD,Winter,Kamila VALIEVA,16.0
ROC,SILVER,Summer,Anastasiia ILIANKOVA,19.0
ROC,SILVER,Winter,Alexandra Trusova,18.0
Republic of Korea,BRONZE,Summer,Young-Chul PARK,7.0
Republic of Korea,BRONZE,Winter,Suk Hee SHIM,17.0
Republic of Korea,GOLD,Summer,Je Deok KIM,16.0
Republic of Korea,GOLD,Winter,Sun-Yu JIN,18.0
Republic of Korea,SILVER,Summer,Sung-Soo PARK,18.0
Republic of Korea,SILVER,Winter,Suk Hee SHIM,17.0
Republic of Moldova,BRONZE,Summer,Serghei TARNOVSCHI,23.0
Republic of Moldova,SILVER,Summer,Nicolae JURAVSCHI,32.0
Romania,BRONZE,Summer,Gabriela POTORAC,15.0
Romania,BRONZE,Winter,Nicolae NEAGOE,27.0
Romania,GOLD,Summer,Sanda TOMA,10.0
Romania,SILVER,Summer,Gabriela POTORAC,15.0
Russian Federation,BRONZE,Summer,Maria PASEKA,17.0
Russian Federation,BRONZE,Winter,Evgenia MEDVEDEVA,7.0
Russian Federation,GOLD,Summer,Svetlana KHORKINA,17.0
Russian Federation,GOLD,Winter,Adelina SOTNIKOVA,18.0
Russian Federation,SILVER,Summer,Yulia KOLTUNOVA,15.0
Russian Federation,SILVER,Winter,Evgeni Viktorovich PLUSHENKO,20.0
Samoa,SILVER,Summer,Ele OPELOGE,23.0
San Marino,BRONZE,Summer,Myles Nazem AMINE,24.0
San Marino,SILVER,Summer,Alessandra PERILLI,32.0
Saudi Arabia,BRONZE,Summer,Khaled ALEID,31.0
Saudi Arabia,SILVER,Summer,Tareg HAMEDI,22.0
Senegal,SILVER,Summer,El Hadji Amadou DIA BA,30.0
Serbia,BRONZE,Summer,Novak DJOKOVIC,21.0
Serbia,GOLD,Summer,Milica MANDIC,21.0
Serbia,SILVER,Summer,Tijana BOGDANOVIC,18.0
Serbia and Montenegro,BRONZE,Summer,Aleksandra IVOSEV,22.0
Serbia and Montenegro,GOLD,Summer,Aleksandra IVOSEV,22.0
Serbia and Montenegro,SILVER,Summer,Jasna SEKARIC,35.0
Singapore,BRONZE,Summer,Tianwei FENG,26.0
Singapore,GOLD,Summer,Joseph SCHOOLING,21.0
Slovakia,BRONZE,Summer,Jozef GONCI,22.0
Slovakia,BRONZE,Winter,Pavol HURAJT,32.0
Slovakia,GOLD,Summer,Michal MARTIKAN,17.0
Slovakia,GOLD,Winter,Anastasiya KUZMINA,26.0
Slovakia,SILVER,Summer,Michal MARTIKAN,21.0
Slovakia,SILVER,Winter,Radoslav ZIDEK,25.0
Slovenia,BRONZE,Summer,Iztok COP,20.0
Slovenia,BRONZE,Winter,Alenka DOVZAN,18.0
Slovenia,GOLD,Summer,Janja GARNBERT,21.0
Slovenia,GOLD,Winter,Ursa BOGATAJ,27.0
Slovenia,SILVER,Summer,Sara ISAKOVIC,20.0
Slovenia,SILVER,Winter,Peter PREVC,22.0
South Africa,BRONZE,Summer,William MEYERS,17.0
South Africa,GOLD,Summer,Joan Cynthia HARRISON,17.0
South Africa,SILVER,Summer,Chad LE CLOS,20.0
Soviet Union,BRONZE,Summer,Nina SAVINA,-41.0
Soviet Union,BRONZE,Winter,Marina KLIMOVA,18.0
Soviet Union,GOLD,Summer,Vladimir MOROZOV,-24.0
Soviet Union,GOLD,Winter,Nikolay KRUGLOV,-5.0
Soviet Union,SILVER,Summer,Aleksandr IVANOV,-6.0
Soviet Union,SILVER,Winter,Marina CHERKASOVA,8.0
Spain,BRONZE,Summer,Patricia MORENO,16.0
Spain,BRONZE,Winter,Regino HERNANDEZ,27.0
Spain,GOLD,Summer,Francisco SANCHEZ,16.0
Spain,GOLD,Winter,Francisco FERNANDEZ OCHOA,22.0
Spain,SILVER,Summer,Carolina PASCUAL GRACIA,16.0
Spain,SILVER,Winter,Queralt CASTELLET,33.0
Sri Lanka,SILVER,Summer,Susanthika JAYASINGHE,25.0
Sudan,SILVER,Summer,Ismail Ahmed ISMAIL,24.0
Suriname,BRONZE,Summer,Anthony Conrad NESTY,25.0
Suriname,GOLD,Summer,Anthony Conrad NESTY,21.0
Sweden,BRONZE,Summer,Jan KARLSSON,6.0
Sweden,BRONZE,Winter,Gunnar LARSSON,17.0
Sweden,GOLD,Summer,Ulrika KNAPE-LINDBERGH,17.0
Sweden,GOLD,Winter,Jonny NILSSON,21.0
Sweden,SILVER,Summer,Jan KARLSSON,6.0
Sweden,SILVER,Winter,Sebastian SAMUELSSON,21.0
Switzerland,BRONZE,Summer,Xaver KURMANN,20.0
Switzerland,BRONZE,Winter,Erika HESS,18.0
Switzerland,GOLD,Summer,Eugen MACK,21.0
Switzerland,GOLD,Winter,Michela FIGINI,18.0
Switzerland,SILVER,Summer,Wilhelm SCHÄRER,21.0
Switzerland,SILVER,Winter,Mathilde GREMAUD,18.0
Syrian Arab Republic,BRONZE,Summer,Naser AL SHAMI,22.0
Syrian Arab Republic,GOLD,Summer,Ghada SHOUAA,24.0
Tajikistan,BRONZE,Summer,Mavzuna CHORIEVA,20.0
Tajikistan,GOLD,Summer,Dilshod NAZAROV,34.0
Tajikistan,SILVER,Summer,Yusup ABDUSALOMOV,31.0
Thailand,BRONZE,Summer,Panipak WONGPATTANAKIT,19.0
Thailand,GOLD,Summer,Sukanya SRISURAT,21.0
Thailand,SILVER,Summer,Tawin HANPRAB,18.0
Togo,BRONZE,Summer,Benjamin BOUKPETI,27.0
Tonga,SILVER,Summer,Paea WOLFGRAM,27.0
Trinidad and Tobago,BRONZE,Summer,George BOVELL,21.0
Trinidad and Tobago,GOLD,Summer,Keshorn WALCOTT,19.0
Trinidad and Tobago,SILVER,Summer,Richard THOMPSON,23.0
Tunisia,BRONZE,Summer,Oussama OUESLATI,20.0
Tunisia,GOLD,Summer,Oussama MALLOULI,24.0
Tunisia,SILVER,Summer,Mohamed GAMMOUDI,26.0
Turkey,BRONZE,Summer,Hulya SENYURT GEBES,19.0
Turkey,GOLD,Summer,Taner SAGIR,19.0
Turkey,SILVER,Summer,Atagun YALCINKAYA,18.0
Turkmenistan,SILVER,Summer,Polina GURYEVA,21.0
Uganda,BRONZE,Summer,Leo RWABWOGO,19.0
Uganda,GOLD,Summer,Peruth CHEMUTAI,21.0
Uganda,SILVER,Summer,John MUGABI,20.0
Ukraine,BRONZE,Summer,Marta FIEDINA,18.0
Ukraine,BRONZE,Winter,Valentyna TSERBE-NESSINA,25.0
Ukraine,GOLD,Summer,Yana KLOCHKOVA,18.0
Ukraine,GOLD,Winter,Oksana BAIUL,17.0
Ukraine,SILVER,Summer,Yana KLOCHKOVA,18.0
Ukraine,SILVER,Winter,Olena PETROVA,26.0
Unified Team,BRONZE,Summer,Dmitry SAUTIN,18.0
Unified Team,BRONZE,Winter,Elena VAELBE TRUBITSINA,24.0
Unified Team,GOLD,Summer,Elena RUDKOVSKAYA,19.0
Unified Team,GOLD,Winter,Natalya MISHKUTYONOK,22.0
Unified Team,SILVER,Summer,Elena MIROSHINA,18.0
Unified Team,SILVER,Winter,Yelizaveta KOZHEVNIKOVA,19.0
United Arab Emirates,BRONZE,Summer,Sergiu TOMA,29.0
United Arab Emirates,GOLD,Summer,Shaikh Ahmed ALMAKTOUM,41.0
United Republic of Tanzania,SILVER,Summer,Suleiman NYAMBUI,27.0
United States of America,BRONZE,Summer,William NELSON,-80.0
United States of America,BRONZE,Winter,Scott ALLEN,15.0
United States of America,GOLD,Summer,John SMITH,-2.0
United States of America,GOLD,Winter,Tara LIPINSKI,16.0
United States of America,SILVER,Summer,Gary Jr. HALL,-6.0
United States of America,SILVER,Winter,Edward MURPHY,-39.0
Uruguay,BRONZE,Summer,Washington RODRIGUEZ,20.0
Uruguay,SILVER,Summer,Eduardo G. RISSO,23.0
Uzbekistan,BRONZE,Summer,Rishod SOBIROV,22.0
Uzbekistan,GOLD,Summer,Akbar DJURAEV,21.0
Uzbekistan,GOLD,Winter,Lina CHERYAZOVA,26.0
Uzbekistan,SILVER,Summer,Bektemir MELIKUZIEV,20.0
Venezuela,BRONZE,Summer,Rafael Antonio VIDAL CASTRO,20.0
Venezuela,GOLD,Summer,Francisco BRITO,23.0
Venezuela,SILVER,Summer,Yoel Segundo FINOL,20.0
Vietnam,GOLD,Summer,Xuan Vinh HOANG,42.0
Vietnam,SILVER,Summer,Anh Tuan HOANG,23.0
"Virgin Islands, US",SILVER,Summer,Peter HOLMBERG,28.0
West Indies Federation,BRONZE,Summer,George Ezekiel KERR,23.0
Yugoslavia,BRONZE,Summer,Jasna REED,18.0
Yugoslavia,BRONZE,Winter,Matjaz DEBELAK,23.0
Yugoslavia,GOLD,Summer,Saban TRSTENA,19.0
Yugoslavia,SILVER,Summer,Zoran PRIMORAC,19.0
Yugoslavia,SILVER,Winter,Mateja SVET,20.0
Zambia,SILVER,Summer,Samuel MATETE,28.0
Zimbabwe,BRONZE,Summer,Kirsty Leigh COVENTRY,21.0
Zimbabwe,GOLD,Summer,Kirsty Leigh COVENTRY,21.0
Zimbabwe,SILVER,Summer,Kirsty Leigh COVENTRY,21.0
